unix_timestamp_ms,fcr_price_eur_per_mw_4h
1705302000000,1044.25
1705305600000,1072.43
1705309200000,1083.03
1705312800000,1083.2
1705316400000,1040.45
1705320000000,1053.0
1705323600000,1047.48
1705327200000,1238.13
1705330800000,1146.05
1705334400000,1434.6
1705338000000,1580.75
1705341600000,1184.08
1705345200000,1137.78
1705348800000,1065.3
1705352400000,1092.65
1705356000000,1214.8
1705359600000,1001.25
1705363200000,1043.48
1705366800000,1025.55
1705370400000,1045.53
1705374000000,1086.35
1705377600000,1062.7
1705381200000,1067.9
1705384800000,1081.9
1705388400000,177.38
1705392000000,147.05
1705395600000,194.08
1705399200000,1172.52
1705402800000,750.45
1705406400000,322.35
1705410000000,1181.53
1705413600000,1074.13
1705417200000,1124.75
1705420800000,1269.68
1705424400000,1228.9
1705428000000,1018.47
1705431600000,1040.55
1705435200000,1347.68
1705438800000,1328.38
1705442400000,1333.2
1705446000000,1017.4
1705449600000,1039.35
1705453200000,1121.27
1705456800000,1062.88
1705460400000,1060.48
1705464000000,1037.85
1705467600000,1035.48
1705471200000,1021.63
1705474800000,1042.23
1705478400000,913.78
1705482000000,462.5
1705485600000,155.5
1705489200000,0.0
1705492800000,455.2
1705496400000,378.83
1705500000000,276.85
1705503600000,603.1
1705507200000,473.73
1705510800000,458.53
1705514400000,722.68
1705518000000,622.32
1705521600000,118.6
1705525200000,59.63
1705528800000,0.0
1705532400000,0.0
1705536000000,0.0
1705539600000,2.3
1705543200000,1.35
1705546800000,1.73
1705550400000,134.15
1705554000000,4.63
1705557600000,51.38
1705561200000,104.78
1705564800000,0.0
1705568400000,0.0
1705572000000,351.08
1705575600000,800.45
1705579200000,603.48
1705582800000,42.43
1705586400000,510.65
1705590000000,72.13
1705593600000,70.4
1705597200000,1024.6
1705600800000,1003.63
1705604400000,1098.53
1705608000000,1193.38
1705611600000,1060.3
1705615200000,792.08
1705618800000,1005.93
1705622400000,1006.03
1705626000000,1034.7
1705629600000,1112.2
1705633200000,1006.48
1705636800000,1003.45
1705640400000,1009.3
1705644000000,1018.65
1705647600000,879.6
1705651200000,893.75
1705654800000,1024.83
1705658400000,1058.25
1705662000000,1015.13
1705665600000,1015.1
1705669200000,1029.85
1705672800000,1012.15
1705676400000,1020.13
1705680000000,1003.88
1705683600000,1017.73
1705687200000,1022.15
1705690800000,1004.8
1705694400000,596.1
1705698000000,515.78
1705701600000,1006.45
1705705200000,1022.15
1705708800000,1007.15
1705712400000,1006.1
1705716000000,485.75
1705719600000,597.68
1705723200000,736.28
1705726800000,1012.23
1705730400000,1015.55
1705734000000,1009.47
1705737600000,1042.15
1705741200000,1119.15
1705744800000,1018.3
1705748400000,958.73
1705752000000,823.18
1705755600000,872.4
1705759200000,1272.3
1705762800000,1260.2
1705766400000,1227.08
1705770000000,1036.0
1705773600000,1003.5
1705777200000,1129.63
1705780800000,1048.55
1705784400000,1037.03
1705788000000,693.9
1705791600000,1001.15
1705795200000,1005.8
1705798800000,494.5
1705802400000,382.38
1705806000000,1150.3
1705809600000,1103.1
1705813200000,1147.03
1705816800000,1053.05
1705820400000,1012.3
1705824000000,1047.2
1705827600000,1007.83
1705831200000,1002.2
1705834800000,943.18
1705838400000,858.55
1705842000000,1092.58
1705845600000,1211.88
1705849200000,1484.68
1705852800000,1147.85
1705856400000,1015.78
1705860000000,1008.03
1705863600000,1041.7
1705867200000,956.2
1705870800000,882.43
1705874400000,897.45
1705878000000,823.43
1705881600000,1059.5
1705885200000,1225.38
1705888800000,967.68
1705892400000,1201.43
1705896000000,1163.83
1705899600000,1240.57
1705903200000,1005.63
1705906800000,947.1
1705910400000,798.6
1705914000000,67.7
1705917600000,965.97
1705921200000,922.8
1705924800000,838.6
1705928400000,1016.65
1705932000000,1118.13
1705935600000,1121.58
1705939200000,1410.02
1705942800000,1014.13
1705946400000,1018.88
1705950000000,1054.53
1705953600000,1031.38
1705957200000,1061.7
1705960800000,1065.65
1705964400000,1002.58
1705968000000,1006.78
1705971600000,1010.3
1705975200000,1017.65
1705978800000,1085.28
1705982400000,1055.9
1705986000000,1125.28
1705989600000,1000.2
1705993200000,1008.33
1705996800000,1047.68
1706000400000,832.93
1706004000000,948.72
1706007600000,889.88
1706011200000,866.55
1706014800000,883.82
1706018400000,365.93
1706022000000,393.58
1706025600000,670.18
1706029200000,1425.08
1706032800000,1024.8
1706036400000,1040.33
1706040000000,1014.6
1706043600000,1137.23
1706047200000,1157.5
1706050800000,1005.63
1706054400000,1141.18
1706058000000,1031.43
1706061600000,1230.6
1706065200000,1170.63
1706068800000,846.15
1706072400000,1093.38
1706076000000,1323.75
1706079600000,1003.93
1706083200000,889.43
1706086800000,915.58
1706090400000,1209.45
1706094000000,1000.43
1706097600000,1208.13
1706101200000,1218.6
1706104800000,1293.18
1706108400000,1033.03
1706112000000,1021.98
1706115600000,1033.15
1706119200000,1095.8
1706122800000,1046.68
1706126400000,1006.85
1706130000000,872.65
1706133600000,979.95
1706137200000,1003.13
1706140800000,1033.33
1706144400000,1044.13
1706148000000,1005.0
1706151600000,921.88
1706155200000,888.28
1706158800000,1029.02
1706162400000,1081.28
1706166000000,1067.05
1706169600000,809.78
1706173200000,225.33
1706176800000,235.0
1706180400000,510.13
1706184000000,368.2
1706187600000,152.43
1706191200000,2.03
1706194800000,13.58
1706198400000,82.58
1706202000000,106.23
1706205600000,335.58
1706209200000,163.2
1706212800000,207.1
1706216400000,200.58
1706220000000,114.63
1706223600000,18.48
1706227200000,149.6
1706230800000,125.28
1706234400000,52.03
1706238000000,1.23
1706241600000,33.4
1706245200000,631.65
1706248800000,1196.28
1706252400000,1034.53
1706256000000,926.75
1706259600000,900.68
1706263200000,1080.38
1706266800000,812.1
1706270400000,852.2
1706274000000,1030.05
1706277600000,1049.65
1706281200000,1064.75
1706284800000,1016.83
1706288400000,985.18
1706292000000,1005.78
1706295600000,1006.33
1706299200000,804.65
1706302800000,1052.6
1706306400000,995.5
1706310000000,970.98
1706313600000,938.95
1706317200000,874.93
1706320800000,1004.43
1706324400000,960.13
1706328000000,1064.0
1706331600000,1091.93
1706335200000,1070.77
1706338800000,979.78
1706342400000,1015.45
1706346000000,987.03
1706349600000,1010.75
1706353200000,751.13
1706356800000,516.3
1706360400000,1332.83
1706364000000,531.43
1706367600000,334.43
1706371200000,69.78
1706374800000,628.03
1706378400000,276.3
1706382000000,1000.98
1706385600000,1029.75
